title,averagestar,quantity,tradeamount,wishedcount,sold_count,pet_type
Mesh Litter Spatula Poop Remover Pet Cleaning Supplies Large Litter Spatula Tofu Litter Litter Box Cat Poop,0.0,9993,5 sold,0,5,Cat
Rechargeable Mini Pet Communication Small Recording Button Cats Dogs Eating Speaking Voice Speaker Buttons Talk Training Ringing,5.0,1986,28 sold,64,28,Cat
Dog Cooling Bed Mat Summer Puppy Cushion Soft Non-slip Pet Sleeping Mats for Small Medium Dogs Pet Accessories,4.5,529,20 sold,38,20,Dog
Automatic Pet Feeder with Active RFID Technology Prevents Food Stealing Perfect for Prescription Diets Schedules Meals,0.0,10,0 sold,1,0,Other
Replace Plush Cat Toy Accessories Worms Replacement Head Funny Cat Stick Pet Toys 5/10/6/11 Pcs,4.9,102222,"1,000+ sold",418,1000,Cat
Pet Bell Cute Color 22mm Paint Christmas Decorations Keychain Charming Key Chain Accessories Candy Colors Colorful Bells,4.6,28,46 sold,25,46,Other
Dog Bed Super Soft Washable Four Seasons Common Pet Kennel Deep Sleep Dog House Velvet Mats Sofa Pet Cat Bed for Dog Basket,0.0,240,0 sold,1,0,Cat
Cats and Dogs Pet Plush Dinosaur Toys Interactive Dog Chew Toys Plush Stuffing Pet Supplies Dog Toys for Small Dogs,5.0,78,98 sold,85,98,Cat
Dog Toys Pet Flying Disk Training Ring Puller Anti-Bite Floating Interactive Supplies Dog Toys Aggressive Chewing,4.8,1903,"1,000+ sold",572,1000,Dog
3 in 1 Dog Steamer Brush Electric Spray Cat Hair Brush Comb Massage Pet Grooming Remove Tangles and Loose Hair Supplies Steamy,4.7,912,"2,000+ sold",1187,2000,Cat
Non-slip Cat Litter Mat With Gift Waterproof Double Layer Pet Litter Box Mat Sand Cat Pad Bed Mat Clean Pad Cat Accessories,4.8,275,445 sold,901,445,Cat
Dog Collapsible Bowl Folding Silicone Pet Travel Bowls Food Water Feeding BPA Free Foldable Cup Dish With Carabiner,4.9,69902,129 sold,146,129,Dog
Pet Dog Cat Paw Print Ink Kit Pad Baby Handprint Footprint Safe Non-toxic Mess-free DIY Hand Footprint Easy Clean Pet Souvenir,4.7,918,500+ sold,411,500,Cat
Personalized Collar Pet ID Tag Custom Free Engraved Cat Dog Puppy Name Necklace Gold Paw Glitter Pendant Pet Accessories 3CM,4.6,7883,69 sold,93,69,Cat
